TransactionID,AccountID,TransactionDate,TransactionType,TransactionAmount,Country,IsFlagged,AccountBalance,BeneficiaryAccountID,TransactionDescription
1,7423388,2022-11-24,credit,49826.18655435725,Germany,Normal,547604.4968526058,7562776,Payment for services
2,7550634,2022-02-27,payment,89284.1343200613,China,Normal,479247.5346501499,8840234,Transfer to savings
3,5304572,2022-01-13,payment,80511.4993073827,Germany,Normal,996125.4070628741,1784464,ATM withdrawal
4,3234489,2022-05-21,credit,63675.71730518782,Brazil,Normal,337627.02434411424,4012038,Online purchase
5,8204212,2022-05-06,credit,88541.87822012373,USA,Normal,88359.94356750416,9156493,Loan repayment
6,5472471,2022-04-25,payment,67850.07696429729,USA,Normal,765060.4613071273,2904188,Payment for services
7,5523669,2022-03-13,credit,81887.3075266999,India,Normal,213902.9954317072,4346560,Transfer to savings
8,8404852,2022-02-22,debit,56382.19231540282,Germany,Normal,532740.0902827438,9155110,ATM withdrawal
9,5981505,2022-12-13,transfer,52526.57298057376,Russia,Normal,95891.93644891062,6799369,Online purchase
10,2766891,2022-10-07,transfer,72412.48330481075,India,Normal,619321.932430709,7225940,Loan repayment
11,5521373,2022-02-14,payment,1978.7343044553504,India,Normal,944013.0031628319,5120603,Payment for services
12,7019877,2022-10-30,payment,69040.85338742603,USA,Normal,722732.4421356971,8940545,Transfer to savings
13,4344769,2022-08-05,debit,93452.47665825242,Germany,Normal,214613.32474879082,2512346,ATM withdrawal
14,1103355,2022-01-17,credit,71397.06856187714,China,Normal,971140.9314843318,8056875,Online purchase
15,2262752,2022-01-16,payment,3689.0044924788776,Russia,Normal,307156.2223314457,6550731,Loan repayment
16,6664789,2022-02-17,transfer,37794.785220864665,Germany,Normal,436671.3249927053,4573165,Payment for services
17,6743066,2022-04-22,debit,80960.0344141059,India,Normal,498167.20867076353,6368042,Transfer to savings
18,7113790,2022-04-30,debit,95861.26891894155,Brazil,Normal,990719.6714991354,5323932,ATM withdrawal
19,5721339,2022-09-16,credit,37022.63393008136,India,Normal,68984.51157911129,3905224,Online purchase
20,4275709,2022-11-05,payment,84120.99364713204,Germany,Normal,696758.6216061264,5610365,Loan repayment
21,1084654,2022-01-14,payment,86382.34943139828,USA,Normal,361994.68260516657,8170412,Payment for services
22,6147581,2022-10-15,debit,12337.407068611741,Germany,Normal,78417.4865705291,4912444,Transfer to savings
23,2954354,2022-04-12,transfer,84580.38878720155,China,Normal,935038.1544670932,1119523,ATM withdrawal
24,9242680,2022-11-29,payment,32431.74706490512,Russia,Normal,589899.333311151,5649359,Online purchase
25,3428388,2022-12-26,transfer,59327.83977932608,Russia,Normal,753542.6557880169,6931943,Loan repayment
26,9916786,2022-10-07,debit,53900.82231444854,Brazil,Normal,240461.39702772253,8086314,Payment for services
27,3663046,2022-08-03,payment,66308.7558349747,Brazil,Normal,761564.7685371607,5571170,Transfer to savings
28,6499720,2022-04-23,transfer,74049.06044796358,India,Normal,828492.5924792143,3236754,ATM withdrawal
29,7640913,2022-08-18,debit,44093.70095088182,Germany,Normal,430886.3142747549,3731963,Online purchase
30,4416664,2022-10-29,transfer,88832.19910669174,Russia,Normal,571999.2771006905,5069210,Loan repayment
31,4385659,2022-05-23,payment,80951.74717194051,USA,Normal,971875.3476760617,6856895,Payment for services
32,4385357,2022-01-04,credit,78544.2550538595,China,Suspicious,846744.9687435881,9136996,Transfer to savings
33,2465689,2022-03-23,transfer,45830.10172500984,India,Normal,444905.57606205746,9827086,ATM withdrawal
34,1068148,2022-12-24,credit,3766.91285560257,Germany,Normal,664607.4013699703,5727908,Online purchase
35,2825665,2022-08-05,payment,49230.71807383065,USA,Normal,784253.0536548328,1679211,Loan repayment
36,3745683,2022-06-24,credit,89845.56895907685,Germany,Normal,24426.387696190654,4417663,Payment for services
37,5056518,2022-05-23,debit,19053.111059195813,USA,Normal,588407.1500266079,4735790,Transfer to savings
38,3669995,2022-03-21,credit,98259.42127633867,Germany,Normal,984530.1605513671,9873083,ATM withdrawal
39,5997895,2022-04-21,transfer,80770.98509511701,Germany,Normal,947185.9317613487,3241029,Online purchase
40,7397986,2022-06-22,transfer,70985.88093028366,Russia,Normal,832457.1507229682,2587936,Loan repayment
41,2870928,2022-02-22,credit,67719.22419265285,India,Normal,106303.47172137223,1075931,Payment for services
42,5155299,2022-02-17,debit,58706.717934556924,Germany,Normal,994042.0483709001,1413268,Transfer to savings
43,7249859,2022-07-14,payment,72069.82562168072,Germany,Normal,609577.1993226354,2839639,ATM withdrawal
44,3305413,2022-02-19,credit,42196.33656636986,India,Normal,222985.95860454754,4929278,Online purchase
45,4910197,2022-07-03,transfer,84530.35792093276,India,Fraudulent,674301.2627453553,8990805,Loan repayment
46,6558019,2022-06-26,transfer,69637.63214996713,Brazil,Normal,856537.9097234734,8442797,Payment for services
47,6414709,2022-11-06,credit,77127.59870683111,Brazil,Normal,112416.52807155109,3575221,Transfer to savings
48,1271836,2022-05-16,credit,79250.8173423763,Russia,Normal,916446.4994750957,2636648,ATM withdrawal
49,4584702,2022-01-23,credit,9216.083870433165,India,Normal,920212.2609908532,1819664,Online purchase
50,8281369,2022-08-24,payment,5573.520861046915,China,Normal,13563.059790694706,3337614,Loan repayment
51,3299435,2022-10-02,transfer,80100.57698978874,Russia,Suspicious,900329.0897512279,1166760,Payment for services
52,9585377,2022-03-05,transfer,25945.80826361424,USA,Normal,946823.2364483322,5244266,Transfer to savings
53,3658505,2022-07-13,transfer,58201.161053106305,India,Normal,37788.027800647156,6249509,ATM withdrawal
54,2271741,2022-02-10,payment,44376.64841334643,Brazil,Normal,294236.90687569993,8413166,Online purchase
55,4769315,2022-10-10,debit,2213.699974726747,Germany,Suspicious,373170.19606544485,4622726,Loan repayment
56,2046797,2022-05-31,transfer,4037.7230040454856,India,Normal,348955.5830191835,4763407,Payment for services
57,4047262,2022-11-18,transfer,82714.25297545678,India,Normal,759027.3369464622,7800245,Transfer to savings
58,1564685,2022-11-13,debit,60771.6793732575,Brazil,Normal,358168.6487779446,1365707,ATM withdrawal
59,3879190,2022-07-05,payment,52389.06944289712,Brazil,Normal,956583.1520137528,6263417,Online purchase
60,6596411,2022-10-23,debit,94435.76482634031,China,Normal,994993.1260422075,9416951,Loan repayment
61,2007293,2022-04-09,debit,17319.7714426252,Russia,Normal,316887.188819176,4555069,Payment for services
62,5774183,2022-12-27,debit,25804.504257483266,Brazil,Normal,508849.87313118624,8013009,Transfer to savings
63,4366612,2022-02-05,debit,75676.34043278037,Brazil,Normal,557750.0697159774,8502288,ATM withdrawal
64,9411855,2022-01-24,payment,77525.77044351336,Brazil,Normal,579444.889684065,4138604,Online purchase
65,6267180,2022-12-05,payment,40495.67067195205,Russia,Normal,374271.5732958801,2161509,Loan repayment
66,8807313,2022-04-27,debit,95098.33368002957,Germany,Normal,166076.9026086338,3687747,Payment for services
67,3704238,2022-05-29,credit,93826.07522573991,India,Suspicious,54655.085676954564,1621554,Transfer to savings
